X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
764.202,8.54491,0.011181,0.640625,764.25
761.778,26.8099,0.0351793,2.01562,762.25
762.462,44.3388,0.0580867,3.32812,763.75
762.526,61.4769,0.0804487,4.60938,765
0,0,0.168533,9.65625,0
1874.98,325.34,0.171806,9.84375,1903
1893.4,370.184,0.193077,11.0625,1929.25
1895.53,415.35,0.215712,12.3594,1940.5
1702,414.51,0.238892,13.6875,1751.75
1679.02,448.911,0.261254,14.9688,1738
1673.13,487.672,0.283616,16.25,1742.75
1675.2,530.7,0.306796,17.5781,1757.25
1683.81,574.137,0.328612,18.8281,1779
1701.64,621.975,0.350429,20.0781,1811.75
1649.14,868.804,0.484874,27.7812,1864
1602.84,891.327,0.507509,29.0781,1834
523.462,357.249,0.598866,34.3125,633.75
514.126,368.417,0.621773,35.625,632.5
480.686,365.728,0.650407,37.2656,604
470.356,373.719,0.671406,38.4688,600.75
459.487,381.939,0.693495,39.7344,597.5
447.979,390.065,0.716403,41.0469,594
437.307,399.403,0.740128,42.4062,592.25
367.74,358.04,0.772035,44.2344,513.25
347.633,354.14,0.79467,45.5312,496.25
332.806,354.17,0.816486,46.7812,486
321.405,358.526,0.839939,48.125,481.5
73.2295,117.263,1.01256,58.0156,138.25
69.7025,119.971,1.04447,59.8438,138.75
0,0,1.04692,59.9844,0
68.4453,119.83,1.05183,60.2656,138
67.6934,122.832,1.0671,61.1406,140.25
0,0,1.06929,61.2656,0
65.6244,125.644,1.08947,62.4219,141.75
63.3173,128.218,1.1121,63.7188,143
61.7385,132.304,1.13419,64.9844,146
61.1317,158.092,1.20182,68.8594,169.5
55.6281,154.012,1.22418,70.1406,163.75
52.2501,155.454,1.24655,71.4219,164
48.7927,156.835,1.26918,72.7188,164.25
44.998,156.926,1.29154,74,163.25
41.4348,157.904,1.31418,75.2969,163.25
38.0097,159.278,1.33654,76.5781,163.75
34.299,159.862,1.35945,77.8906,163.5
0,0,1.36217,78.0469,0
30.5245,159.353,1.38154,79.1562,162.25
26.8271,159.51,1.40417,80.4531,161.75
23.4694,161.554,1.42653,81.7344,163.25
0,0,1.45217,83.2031,0
0,0,1.4748,84.5,0
15.8225,184.322,1.48516,85.0938,185
11.7411,186.13,1.5078,86.3906,186.5
7.62635,188.846,1.53043,87.6875,189
0,0,1.5648,89.6562,0
0,0,1.58743,90.9531,0
-5.31609,200.93,1.59725,91.5156,201
-9.83774,202.511,1.61934,92.7812,202.75
0,0,1.63243,93.5312,0
-14.7209,206.476,1.64197,94.0781,207
0,0,1.65479,94.8125,0
0,0,1.67742,96.1094,0
0,0,1.70006,97.4062,0
-31.0015,222.349,1.70933,97.9375,224.5
0,0,1.76742,101.266,0
-58.9019,259.653,1.79387,102.781,266.25
-83.0157,309.821,1.83259,105,320.75
-1606.41,2261.23,2.18848,125.391,2773.75
0,0,2.1953,125.781,0
-1105.99,440.548,2.76253,158.281,1190.5
-1095.77,408.674,2.78462,159.547,1169.5
-1123.27,389.861,2.80752,160.859,1189
-1176.02,380.345,2.82879,162.078,1236
